Educação e Informática: uma abordagem integrada,,,,,,,
,,,,,,,
,,Atividade,HORÁRIO,Descrição,Local,Autor,Responsável
"1 dia

16/09/2026",,Abertura oficial,19:00- 19:15,,Anfiteatro,"Priscila, Leonardo, coordenadores",Priscila
,,Atividade cultural,19:15 - 19:35,"dança?
musica?",,,
,,Palestra inicial,20:00 - 21:10,Educação e Informática: uma abordagem integrada,Anfiteatro 2,Ádamo Duarte,
,,,,,,,
,CICLO DE PALESTRAS, PEDAGOGIA,21:20 - 22:30,Inteligência artifical na acessibilidade linguística para estudantes surdos na educação básica,Sala Verde,Nelson Dias,Pedagogia
,,,,Da graduação ao mercado de trabalho: o que dizem nossos egressos? Mesa de conversa mediada pela professora ,,Mara Lucinéia Marques Correa Bueno,
,,MATEMÁTICA,21:20 - 22:30,,Anfiteatro 2,,Matemática
,,SISTEMAS DE INFORMAÇÃO,21:20 - 22:30,Aplicações Práticas em Sistemas de Informação: Experiências com RV e Gamificação,Anfiteatro 1,Juliana da Costa Feitosa,S.I
,,,,,,,
,,,,,,,
"2 dia
17/09/2026",BANNERS,Sessão de Banners,19:00 - 20:30,BANNERS,Anfiteatro 2,,Antonio
,,intervalo,20:30 - 20:45,,,,
,,Sessão de Banners,20:45 - 22:10,,Anfiteatro 2,,
,,,,,,,
,MINI CURSOS,,19:00 - 22:00,,,,
,,,19:00 - 22:00,TDAH - falta definir o título - Profª Ilma Saramago,Sala Verde,Ilma Regina Castro Saramago,Pedagogia
,,,19:00 - 22:00,Workshop: prototipação com LLMs,PTin,Gedson Faria,SI
,,,,,,,
,,,,,,,
"3 dia
18/09/2026",BANNERS,Sessão de Banners,19:00 - 20:30,BANNERS,Anfiteatro 2,,Ellen
,,intervalo,20:30 - 20:45,,,,
,,Sessão de Premiação,20:45 - 22:10,,Anfiteatro 2,,
,,,,,,,
,MINI CURSOS,,19:00 - 22:00,INTRODUÇÃO À OTIMIZAÇÃO MULTIOBJETIVO ,Lab Inf,Ana Paula Chorobura,Matemática
,,,19:00 - 22:00,Afetividade e Educação Digital: construindo relações de aprendizagem em tempos de tecnologias ,,Viviane Aparecida Ferreira Favareto Cacheffo,Pedagogia
,,,19:00 - 22:00,Bases de dados públicas do IBGE e Mapbiomas como suporte para projetos e ações de educação ambiental,Sala Verde,Ana Carolina Torelli Marquezini Faccin,Pedagogia
